  533×12 table

         TestFolder          Accuracy    BestGuess    GuessScore       AN          CE          DS          HP          NE          SA          SC          SR   
    _____________________    ________    _________    __________    ________    ________    ________    ________    ________    ________    ________    ________

    "S1/S1GL1/S1GL1AN"           0.65      "AN"           0.65          0.65           0           0        0.15           0         0.2           0           0
    "S1/S1HD1/S1HD1AN"       0.095238      "SC"        0.38095      0.095238           0     0.14286    0.047619           0     0.33333     0.38095           0
    "S1/S1HD2/S1HD2AN"        0.14286      "NE"        0.61905       0.14286           0    0.095238    0.095238     0.61905    0.047619           0           0
    "S1/S1MK1/S1MK1AN"        0.57143      "AN"        0.57143       0.57143           0    0.047619     0.38095           0           0           0           0
    "S1/S1MK2/S1MK2AN"        0.28571      "CE"        0.28571       0.28571     0.28571     0.19048           0           0    0.047619    0.047619     0.14286
    "S1/S1MK3/S1MK3AN"        0.27778      "DS"        0.44444       0.27778           0     0.44444     0.27778           0           0           0           0
    "S1/S1MK4/S1MK4AN"        0.36364      "AN"        0.36364       0.36364           0    0.045455           0           0           0     0.27273     0.31818
    "S1/S1MK5/S1MK5AN"         0.2381      "DS"        0.38095        0.2381           0     0.38095           0    0.095238           0     0.14286     0.14286
    "S1/S1MK6/S1MK6AN"        0.14286      "SA"        0.61905       0.14286           0           0    0.047619     0.19048     0.61905           0           0
    "S1/S1MK7/S1MK7AN"       0.095238      "SC"        0.47619      0.095238           0     0.14286           0           0    0.047619     0.47619      0.2381
    "S1/S1MK8/S1MK8AN"        0.19048      "DS"        0.80952       0.19048           0     0.80952           0           0           0           0           0
    "S1/S1NM2/S1NM2AN"              0      "SA"        0.47619             0           0           0           0    0.095238     0.47619     0.42857           0
    "S2/S2HD1/S2HD1AN"              0      "HP"              1             0           0           0           1           0           0           0           0
    "S2/S2GL1/S2GL1AN"              0      "HP"            0.8             0           0         0.2         0.8           0           0           0           0
    "S2/S2NM2/S2NM2AN"              0      "HP"           0.55             0           0           0        0.55           0           0        0.05         0.4
    "S3/S3HD1/S3HD1AN"        0.80952      "AN"        0.80952       0.80952           0           0    0.047619           0           0     0.14286           0
    "S3/S3HD2/S3HD2AN"        0.38095      "AN"        0.38095       0.38095           0      0.2381    0.095238    0.095238           0     0.14286    0.047619
    "S3/S3MK1/S3MK1AN"        0.19048      "DS"        0.61905       0.19048           0     0.61905           0    0.047619           0    0.095238    0.047619
    "S3/S3MK2/S3MK2AN"        0.14286      "DS"        0.85714       0.14286           0     0.85714           0           0           0           0           0
    "S3/S3MK3/S3MK3AN"              1      "AN"              1             1           0           0           0           0           0           0           0
    "S3/S3MK4/S3MK4AN"        0.33333      "DS"        0.47619       0.33333           0     0.47619           0           0           0     0.19048           0
    "S3/S3MK5/S3MK5AN"              0      "HP"           0.45             0           0         0.4        0.45           0           0        0.15           0
    "S3/S3NM3/S3NM3AN"        0.42857      "AN"        0.42857       0.42857           0           0    0.047619           0    0.047619     0.28571     0.19048
    "S4/S4GL1/S4GL1AN"              0      "HP"            0.5             0           0           0         0.5        0.15        0.05         0.3           0
    "S4/S4HD1/S4HD1AN"        0.33333      "NE"        0.33333       0.33333    0.047619           0           0     0.33333     0.28571           0           0
